text,branch,semester,subject,subject_code,month,year,html_url,pdf_url
BTECH-ME-7-SEM-COMPUTER-INTEGRATED-MANUFACTURING-24484-DEC-2019,ME,7,COMPUTER INTEGRATED MANUFACTURING,24484,DEC,2019,https://www.mdustudy.com/papers/btech-me-7-sem-computer-integrated-manufacturing-24484-dec-2019.html,https://www.mdustudy.com/papers/btech-me-7-sem-computer-integrated-manufacturing-24484-dec-2019.pdf
BTECH-CSE-6-SEM-COMPUTER-NETWORK-24328-MAY-2019,CSE,6,COMPUTER NETWORK,24328,MAY,2019,https://www.mdustudy.com/papers/btech-cse-6-sem-computer-network-24328-may-2019.html,https://www.mdustudy.com/papers/btech-cse-6-sem-computer-network-24328-may-2019.pdf
BTECH-CIVIL-4-SEM-CONSTRUCTION-AND-CONCRETE-TECHNOLOGY-24199-MAY-2019,CIVIL,4,CONSTRUCTION AND CONCRETE TECHNOLOGY,24199,MAY,2019,https://www.mdustudy.com/papers/btech-civil-4-sem-construction-and-concrete-technology-24199-may-2019.html,https://www.mdustudy.com/papers/btech-civil-4-sem-construction-and-concrete-technology-24199-may-2019.pdf
BTECH-EE-6-SEM-CONTROL-SYSTEMS-ENGINEERING-24322-MAY-2019,EE,6,CONTROL SYSTEMS ENGINEERING,24322,MAY,2019,https://www.mdustudy.com/papers/btech-ee-6-sem-control-systems-engineering-24322-may-2019.html,https://www.mdustudy.com/papers/btech-ee-6-sem-control-systems-engineering-24322-may-2019.pdf
BTECH-CSE-4-SEM-DATABASE-MANAGEMENT-SYSTEMS-24162-MAY-2019,CSE,4,DATABASE MANAGEMENT SYSTEMS,24162,MAY,2019,https://www.mdustudy.com/papers/btech-cse-4-sem-database-management-systems-24162-may-2019.html,https://www.mdustudy.com/papers/btech-cse-4-sem-database-management-systems-24162-may-2019.pdf
BTECH-CIVIL-4-SEM-DESIGN-OF-CONCRETE-STRUCTURES-1-24197-MAY-2019,CIVIL,4,DESIGN OF CONCRETE STRUCTURES 1,24197,MAY,2019,https://www.mdustudy.com/papers/btech-civil-4-sem-design-of-concrete-structures-1-24197-may-2019.html,https://www.mdustudy.com/papers/btech-civil-4-sem-design-of-concrete-structures-1-24197-may-2019.pdf
BTECH-CIVIL-6-SEM-DESIGN-OF-CONCRETE-STRUCTURES-2-24378-MAY-2019,CIVIL,6,DESIGN OF CONCRETE STRUCTURES 2,24378,MAY,2019,https://www.mdustudy.com/papers/btech-civil-6-sem-design-of-concrete-structures-2-24378-may-2019.html,https://www.mdustudy.com/papers/btech-civil-6-sem-design-of-concrete-structures-2-24378-may-2019.pdf
BTECH-CIVIL-7-SEM-DESIGN-OF-STEEL-STRUCTURE-2-24511-MAY-2019,CIVIL,7,DESIGN OF STEEL STRUCTURE 2,24511,MAY,2019,https://www.mdustudy.com/papers/btech-civil-7-sem-design-of-steel-structure-2-24511-may-2019.html,https://www.mdustudy.com/papers/btech-civil-7-sem-design-of-steel-structure-2-24511-may-2019.pdf
BTECH-EE-4-SEM-DIGITAL-ELECTRONICS-24143-MAY-2019,EE,4,DIGITAL ELECTRONICS,24143,MAY,2019,https://www.mdustudy.com/papers/btech-ee-4-sem-digital-electronics-24143-may-2019.html,https://www.mdustudy.com/papers/btech-ee-4-sem-digital-electronics-24143-may-2019.pdf
BTECH-EE-7-SEM-DIGITAL-SIGNAL-PROCESSING-24422-DEC-2019,EE,7,DIGITAL SIGNAL PROCESSING,24422,DEC,2019,https://www.mdustudy.com/papers/btech-ee-7-sem-digital-signal-processing-24422-dec-2019.html,https://www.mdustudy.com/papers/btech-ee-7-sem-digital-signal-processing-24422-dec-2019.pdf
BTECH-EE-7-SEM-DIGITAL-SIGNAL-PROCESSING-24422-MAY-2019,EE,7,DIGITAL SIGNAL PROCESSING,24422,MAY,2019,https://www.mdustudy.com/papers/btech-ee-7-sem-digital-signal-processing-24422-may-2019.html,https://www.mdustudy.com/papers/btech-ee-7-sem-digital-signal-processing-24422-may-2019.pdf
BTECH-CSE-6-SEM-DIGITAL-SYSTEM-DESIGN-24324-MAY-2019,CSE,6,DIGITAL SYSTEM DESIGN,24324,MAY,2019,https://www.mdustudy.com/papers/btech-cse-6-sem-digital-system-design-24324-may-2019.html,https://www.mdustudy.com/papers/btech-cse-6-sem-digital-system-design-24324-may-2019.pdf
BTECH-IT-7-SEM-DISTRIBUTED-OPERATING-SYSTEM-24471-MAY-2019,IT,7,DISTRIBUTED OPERATING SYSTEM,24471,MAY,2019,https://www.mdustudy.com/papers/btech-it-7-sem-distributed-operating-system-24471-may-2019.html,https://www.mdustudy.com/papers/btech-it-7-sem-distributed-operating-system-24471-may-2019.pdf
BTECH-EEE-6-SEM-COMPUTER-AIDED-ELECTRIC-MACHINES-24320-MAY-2019,EE,6,E COMPUTER AIDED ELECTRIC MACHINES,24320,MAY,2019,https://www.mdustudy.com/papers/btech-eee-6-sem-computer-aided-electric-machines-24320-may-2019.html,https://www.mdustudy.com/papers/btech-eee-6-sem-computer-aided-electric-machines-24320-may-2019.pdf
BTECH-EEE-5-SEM-ELECTRONIC-MEASUREMENT-AND-INSTRUMENTATION-24226-DEC-2019,EE,5,E ELECTRONIC MEASUREMENT AND INSTRUMENTATION,24226,DEC,2019,https://www.mdustudy.com/papers/btech-eee-5-sem-electronic-measurement-and-instrumentation-24226-dec-2019.html,https://www.mdustudy.com/papers/btech-eee-5-sem-electronic-measurement-and-instrumentation-24226-dec-2019.pdf
BTECH-EEE-6-SEM-POWER-SYSTEMS-2-24319-MAY-2019,EE,6,E POWER SYSTEMS 2,24319,MAY,2019,https://www.mdustudy.com/papers/btech-eee-6-sem-power-systems-2-24319-may-2019.html,https://www.mdustudy.com/papers/btech-eee-6-sem-power-systems-2-24319-may-2019.pdf
BTECH-EEE-4-SEM-PRINCIPLES-OF-COMMUNICATION-SYSTEM-24147-MAY-2019,EE,4,E PRINCIPLES OF COMMUNICATION SYSTEM,24147,MAY,2019,https://www.mdustudy.com/papers/btech-eee-4-sem-principles-of-communication-system-24147-may-2019.html,https://www.mdustudy.com/papers/btech-eee-4-sem-principles-of-communication-system-24147-may-2019.pdf
BTECH-EEE-7-SEM-RENEWABLE-ENERGY-RESOURCES-AND-TECHNOLOGY-24427-DEC-2019,EE,7,E RENEWABLE ENERGY RESOURCES AND TECHNOLOGY,24427,DEC,2019,https://www.mdustudy.com/papers/btech-eee-7-sem-renewable-energy-resources-and-technology-24427-dec-2019.html,https://www.mdustudy.com/papers/btech-eee-7-sem-renewable-energy-resources-and-technology-24427-dec-2019.pdf
BTECH-EEE-4-SEM-TRANSMISSION-AND-DISTRIBUTION-24141-MAY-2019,EE,4,E TRANSMISSION AND DISTRIBUTION,24141,MAY,2019,https://www.mdustudy.com/papers/btech-eee-4-sem-transmission-and-distribution-24141-may-2019.html,https://www.mdustudy.com/papers/btech-eee-4-sem-transmission-and-distribution-24141-may-2019.pdf
BTECH-EE-6-SEM-ELECTRIC-POWER-GENERATION-24323-MAY-2019,EE,6,ELECTRIC POWER GENERATION,24323,MAY,2019,https://www.mdustudy.com/papers/btech-ee-6-sem-electric-power-generation-24323-may-2019.html,https://www.mdustudy.com/papers/btech-ee-6-sem-electric-power-generation-24323-may-2019.pdf
BTECH-EE-7-SEM-ELECTRICAL-DRIVES-AND-CONTROL-24421-DEC-2019,EE,7,ELECTRICAL DRIVES AND CONTROL,24421,DEC,2019,https://www.mdustudy.com/papers/btech-ee-7-sem-electrical-drives-and-control-24421-dec-2019.html,https://www.mdustudy.com/papers/btech-ee-7-sem-electrical-drives-and-control-24421-dec-2019.pdf
BTECH-EE-7-SEM-ELECTRICAL-DRIVES-AND-CONTROL-24421-MAY-2019,EE,7,ELECTRICAL DRIVES AND CONTROL,24421,MAY,2019,https://www.mdustudy.com/papers/btech-ee-7-sem-electrical-drives-and-control-24421-may-2019.html,https://www.mdustudy.com/papers/btech-ee-7-sem-electrical-drives-and-control-24421-may-2019.pdf
BTECH-EE-5-SEM-ELECTRICAL-MACHINES-2-24225-DEC-2019,EE,5,ELECTRICAL MACHINES 2,24225,DEC,2019,https://www.mdustudy.com/papers/btech-ee-5-sem-electrical-machines-2-24225-dec-2019.html,https://www.mdustudy.com/papers/btech-ee-5-sem-electrical-machines-2-24225-dec-2019.pdf
BTECH-2-SEM-ELECTRICAL-TECHNOLOGY-24007-MAY-2019,COMMON/N/A,2,ELECTRICAL TECHNOLOGY,24007,MAY,2019,https://www.mdustudy.com/papers/btech-2-sem-electrical-technology-24007-may-2019.html,https://www.mdustudy.com/papers/btech-2-sem-electrical-technology-24007-may-2019.pdf
BTECH-EE-4-SEM-ELECTRO-MAGNETIC-THEORY-24144-MAY-2019,EE,4,ELECTRO MAGNETIC THEORY,24144,MAY,2019,https://www.mdustudy.com/papers/btech-ee-4-sem-electro-magnetic-theory-24144-may-2019.html,https://www.mdustudy.com/papers/btech-ee-4-sem-electro-magnetic-theory-24144-may-2019.pdf
BTECH-1-SEM-ENGLISH-3014-DEC-2019,COMMON/N/A,1,ENGLISH,3014,DEC,2019,https://www.mdustudy.com/papers/btech-1-sem-english-3014-dec-2019.html,https://www.mdustudy.com/papers/btech-1-sem-english-3014-dec-2019.pdf
BTECH-CIVIL-7-SEM-ESTIMATING-AND-COSTING-24513-MAY-2019,CIVIL,7,ESTIMATING AND COSTING,24513,MAY,2019,https://www.mdustudy.com/papers/btech-civil-7-sem-estimating-and-costing-24513-may-2019.html,https://www.mdustudy.com/papers/btech-civil-7-sem-estimating-and-costing-24513-may-2019.pdf
BTECH-CIVIL-4-SEM-FLUID-MECHANICS-2-24196-MAY-2019,CIVIL,4,FLUID MECHANICS 2,24196,MAY,2019,https://www.mdustudy.com/papers/btech-civil-4-sem-fluid-mechanics-2-24196-may-2019.html,https://www.mdustudy.com/papers/btech-civil-4-sem-fluid-mechanics-2-24196-may-2019.pdf
BTECH-2-SEM-FUNDAMENTALS-OF-COMPUTER-AND-PROGRAMMING-IN-C-24006-MAY-2019,COMMON/N/A,2,FUNDAMENTALS OF COMPUTER AND PROGRAMMING IN C,24006,MAY,2019,https://www.mdustudy.com/papers/btech-2-sem-fundamentals-of-computer-and-programming-in-c-24006-may-2019.html,https://www.mdustudy.com/papers/btech-2-sem-fundamentals-of-computer-and-programming-in-c-24006-may-2019.pdf
BTECH-CIVIL-7-SEM-GROUND-WATER-ENGINEERING-24516-MAY-2019,CIVIL,7,GROUND WATER ENGINEERING,24516,MAY,2019,https://www.mdustudy.com/papers/btech-civil-7-sem-ground-water-engineering-24516-may-2019.html,https://www.mdustudy.com/papers/btech-civil-7-sem-ground-water-engineering-24516-may-2019.pdf
BTECH-EE-7-SEM-HIGH-VOLTAGE-ENGINEERING-24434-DEC-2019,EE,7,HIGH VOLTAGE ENGINEERING,24434,DEC,2019,https://www.mdustudy.com/papers/btech-ee-7-sem-high-voltage-engineering-24434-dec-2019.html,https://www.mdustudy.com/papers/btech-ee-7-sem-high-voltage-engineering-24434-dec-2019.pdf
BTECH-EE-7-SEM-HIGH-VOLTAGE-ENGINEERING-24434-MAY-2019,EE,7,HIGH VOLTAGE ENGINEERING,24434,MAY,2019,https://www.mdustudy.com/papers/btech-ee-7-sem-high-voltage-engineering-24434-may-2019.html,https://www.mdustudy.com/papers/btech-ee-7-sem-high-voltage-engineering-24434-may-2019.pdf
BTECH-CIVIL-7-SEM-HYDROYOPWER-ENGINEERING-24515-MAY-2019,CIVIL,7,HYDROYOPWER ENGINEERING,24515,MAY,2019,https://www.mdustudy.com/papers/btech-civil-7-sem-hydroyopwer-engineering-24515-may-2019.html,https://www.mdustudy.com/papers/btech-civil-7-sem-hydroyopwer-engineering-24515-may-2019.pdf
BTECH-ME-6-SEM-INDUSTRIAL-ENGINEERING-24359-MAY-2019,ME,6,INDUSTRIAL ENGINEERING,24359,MAY,2019,https://www.mdustudy.com/papers/btech-me-6-sem-industrial-engineering-24359-may-2019.html,https://www.mdustudy.com/papers/btech-me-6-sem-industrial-engineering-24359-may-2019.pdf
BTECH-IT-6-SEM-INTELLIGENT-SYSTEMS-24333-MAY-2019,IT,6,INTELLIGENT SYSTEMS,24333,MAY,2019,https://www.mdustudy.com/papers/btech-it-6-sem-intelligent-systems-24333-may-2019.html,https://www.mdustudy.com/papers/btech-it-6-sem-intelligent-systems-24333-may-2019.pdf
BTECH-CSE-4-SEM-INTERNET-FUNDAMENTALS-24163-MAY-2019,CSE,4,INTERNET FUNDAMENTALS,24163,MAY,2019,https://www.mdustudy.com/papers/btech-cse-4-sem-internet-fundamentals-24163-may-2019.html,https://www.mdustudy.com/papers/btech-cse-4-sem-internet-fundamentals-24163-may-2019.pdf
