Player Name,Player Profile URL,Rank,Team,Wickets,Matches,Innings,Overs,Runs Conceded,Best Bowling,Average,Economy,Strike Rate,4 Wicket Hauls,5 Wicket Hauls
Ruturaj Gaikwad,https://www.iplt20.com/players/ruturaj-gaikwad/5443,,,,,,,,,,,,,
Virat Kohli,https://www.iplt20.com/players/virat-kohli/164,,,,,,,,,,,,,
Rishabh Pant,https://www.iplt20.com/players/rishabh-pant/2972,,,,,,,,,,,,,
Rajat Patidar,https://www.iplt20.com/players/rajat-patidar/5471,,,,,,,,,,,,,
Dinesh Karthik,https://www.iplt20.com/players/dinesh-karthik/102,,,,,,,,,,,,,
Wriddhiman Saha,https://www.iplt20.com/players/wriddhiman-saha/16,,,,,,,,,,,,,
Shimron Hetmyer,https://www.iplt20.com/players/shimron-hetmyer/1705,,,,,,,,,,,,,
Nicholas Pooran,https://www.iplt20.com/players/nicholas-pooran/1703,,,,,,,,,,,,,
Suryakumar Yadav,https://www.iplt20.com/players/suryakumar-yadav/108,,,,,,,,,,,,,
Prithvi Shaw,https://www.iplt20.com/players/prithvi-shaw/3764,,,,,,,,,,,,,
Ambati Rayudu,https://www.iplt20.com/players/ambati-rayudu/100,,,,,,,,,,,,,
Rohit Sharma,https://www.iplt20.com/players/rohit-sharma/107,,,,,,,,,,,,,
Yashasvi Jaiswal,https://www.iplt20.com/players/yashasvi-jaiswal/13538,,,,,,,,,,,,,
Jonny Bairstow,https://www.iplt20.com/players/jonny-bairstow/506,,,,,,,,,,,,,
Devon Conway,https://www.iplt20.com/players/devon-conway/20572,,,,,,,,,,,,,
Jitesh Sharma,https://www.iplt20.com/players/jitesh-sharma/3185,,,,,,,,,,,,,
MS Dhoni,https://www.iplt20.com/players/ms-dhoni/1,,,,,,,,,,,,,
Robin Uthappa,https://www.iplt20.com/players/robin-uthappa/127,,,,,,,,,,,,,
Rahul Tewatia,https://www.iplt20.com/players/rahul-tewatia/1749,,,,,,,,,,,,,
Kane Williamson,https://www.iplt20.com/players/kane-williamson/440,,,,,,,,,,,,,
Bhanuka Rajapaksa,https://www.iplt20.com/players/bhanuka-rajapaksa/20604,,,,,,,,,,,,,
Mayank Agarwal,https://www.iplt20.com/players/mayank-agarwal/158,,,,,,,,,,,,,
Tim David,https://www.iplt20.com/players/tim-david/4524,,,,,,,,,,,,,
Venkatesh Iyer,https://www.iplt20.com/players/venkatesh-iyer/8540,,,,,,,,,,,,,
Rinku Singh,https://www.iplt20.com/players/rinku-singh/3830,,,,,,,,,,,,,
Sam Billings,https://www.iplt20.com/players/sam-billings/2756,,,,,,,,,,,,,
Matthew Wade,https://www.iplt20.com/players/matthew-wade/290,,,,,,,,,,,,,
Sai Sudharsan,https://www.iplt20.com/players/sai-sudharsan/20592,,,,,,,,,,,,,
Ajinkya Rahane,https://www.iplt20.com/players/ajinkya-rahane/135,,,,,,,,,,,,,
Anuj Rawat,https://www.iplt20.com/players/anuj-rawat/10788,,,,,,,,,,,,,
Abhinav Manohar,https://www.iplt20.com/players/abhinav-manohar/20589,,,,,,,,,,,,,
Sarfaraz Khan,https://www.iplt20.com/players/sarfaraz-khan/1564,,,,,,,,,,,,,
Manish Pandey,https://www.iplt20.com/players/manish-pandey/123,,,,,,,,,,,,,
Mahipal Lomror,https://www.iplt20.com/players/mahipal-lomror/2970,,,,,,,,,,,,,
Aaron Finch,https://www.iplt20.com/players/aaron-finch/167,,,,,,,,,,,,,
Evin Lewis,https://www.iplt20.com/players/evin-lewis/872,,,,,,,,,,,,,
Suyash S Prabhudessai,https://www.iplt20.com/players/suyash-s-prabhudessai/7002,,,,,,,,,,,,,
Priyam Garg,https://www.iplt20.com/players/priyam-garg/3775,,,,,,,,,,,,,
Jagadeesan Narayan,https://www.iplt20.com/players/jagadeesan-narayan/4942,,,,,,,,,,,,,
Sherfane Rutherford,https://www.iplt20.com/players/sherfane-rutherford/5396,,,,,,,,,,,,,
James Neesham,https://www.iplt20.com/players/james-neesham/20615,,,,,,,,,,,,,
Tim Seifert,https://www.iplt20.com/players/tim-seifert/1619,,,,,,,,,,,,,
Sheldon Jackson,https://www.iplt20.com/players/sheldon-jackson/1116,,,,,,,,,,,,,
Rassie van der Dussen,https://www.iplt20.com/players/rassie-van-der-dussen/20619,,,,,,,,,,,,,
B Indrajith,https://www.iplt20.com/players/b-indrajith/20578,,,,,,,,,,,,,
Manan Vohra,https://www.iplt20.com/players/manan-vohra/1085,,,,,,,,,,,,,
Vijay Shankar,https://www.iplt20.com/players/vijay-shankar/1083,,,,,,,,,,,,,
Mandeep Singh,https://www.iplt20.com/players/mandeep-singh/72,,,,,,,,,,,,,
Karun Nair,https://www.iplt20.com/players/karun-nair/276,,,,,,,,,,,,,
Simran Singh,https://www.iplt20.com/players/simran-singh/5436,,,,,,,,,,,,,
Anmolpreet Singh,https://www.iplt20.com/players/anmolpreet-singh/2965,,,,,,,,,,,,,
Rajangad Bawa,https://www.iplt20.com/players/rajangad-bawa/20601,,,,,,,,,,,,,
Srikar Bharat,https://www.iplt20.com/players/srikar-bharat/2734,,,,,,,,,,,,,
Ripal Patel,https://www.iplt20.com/players/ripal-patel/17191,,,,,,,,,,,,,
Aman Khan,https://www.iplt20.com/players/aman-khan/20581,,,,,,,,,,,,,
Prerak Mankad,https://www.iplt20.com/players/prerak-mankad/20602,,,,,,,,,,,,,
Karan Sharma,https://www.iplt20.com/players/karan-sharma/20588,,,,,,,,,,,,,
Abdul Samad,https://www.iplt20.com/players/abdul-samad/19352,,,,,,,,,,,,,
Abhijeet Tomar,https://www.iplt20.com/players/abhijeet-tomar/20580,,,,,,,,,,,,,
Nathan Coulter-Nile,https://www.iplt20.com/players/nathan-coulter-nile/,,,,,,,,,,,,,
Heinrich Klaasen,https://www.iplt20.com/players/heinrich-klaasen/3869,,,,,,,,,,,,,
Kyle Mayers,https://www.iplt20.com/players/kyle-mayers/20587,,,,,,,,,,,,,
Jason Roy,https://www.iplt20.com/players/jason-roy/1906,,,,,,,,,,,,,
Nehal Wadera,https://www.iplt20.com/players/nehal-wadera/5859,,,,,,,,,,,,,
Rahmanullah Gurbaz,https://www.iplt20.com/players/rahmanullah-gurbaz/20625,,,,,,,,,,,,,
Phil Salt,https://www.iplt20.com/players/phil-salt/5606,,,,,,,,,,,,,
Rilee Rossouw,https://www.iplt20.com/players/rilee-rossouw/239,,,,,,,,,,,,,
Harry Brook,https://www.iplt20.com/players/harry-brook/5600,,,,,,,,,,,,,
Atharva Taide,https://www.iplt20.com/players/atharva-taide/20603,,,,,,,,,,,,,
Dhruv Jurel,https://www.iplt20.com/players/dhruv-jurel/20620,,,,,,,,,,,,,
Matthew Short,https://www.iplt20.com/players/matthew-short/2032,,,,,,,,,,,,,
Harpreet Bhatia,https://www.iplt20.com/players/harpreet-bhatia/5879,,,,,,,,,,,,,
Vivrant Sharma,https://www.iplt20.com/players/vivrant-sharma/5614,,,,,,,,,,,,,
Vishnu Vinod,https://www.iplt20.com/players/vishnu-vinod/4305,,,,,,,,,,,,,
Abishek Porel,https://www.iplt20.com/players/abishek-porel/33333,,,,,,,,,,,,,
Dasun Shanaka,https://www.iplt20.com/players/dasun-shanaka/,,,,,,,,,,,,,
David Wiese,https://www.iplt20.com/players/david-wiese/869,,,,,,,,,,,,,
Yash Dhull,https://www.iplt20.com/players/yash-dhull/20623,,,,,,,,,,,,,
Ben Stokes,https://www.iplt20.com/players/ben-stokes/1154,,,,,,,,,,,,,
Kedar Jadhav,https://www.iplt20.com/players/kedar-jadhav/297,,,,,,,,,,,,,
Sanvir Singh,https://www.iplt20.com/players/sanvir-singh/5616,,,,,,,,,,,,,
Joe Root,https://www.iplt20.com/players/joe-root/5601,,,,,,,,,,,,,
Litton Das,https://www.iplt20.com/players/litton-das/,,,,,,,,,,,,,
Abdul Basith,https://www.iplt20.com/players/abdul-basith/5812,,,,,,,,,,,,,
Mohit Rathee,https://www.iplt20.com/players/mohit-rathee/5856,,,,,,,,,,,,,
Travis Head,https://www.iplt20.com/players/travis-head/1020,,,,,,,,,,,,,
Prabhsimran Singh,https://www.iplt20.com/players/prabhsimran-singh/5436,,,,,,,,,,,,,
Jake Fraser - McGurk,https://www.iplt20.com/players/jake-fraser-mcgurk/20720,,,,,,,,,,,,,
Rachin Ravindra,https://www.iplt20.com/players/rachin-ravindra/20684,,,,,,,,,,,,,
Ashutosh Sharma,https://www.iplt20.com/players/ashutosh-sharma/20703,,,,,,,,,,,,,
Shai Hope,https://www.iplt20.com/players/shai-hope/20710,,,,,,,,,,,,,
Angkrish Raghuvanshi,https://www.iplt20.com/players/angkrish-raghuvanshi/20690,,,,,,,,,,,,,
Naman Dhir,https://www.iplt20.com/players/naman-dhir/20701,,,,,,,,,,,,,
Nehal Wadhera,https://www.iplt20.com/players/nehal-wadhera/5859,,,,,,,,,,,,,
Sameer Rizwi,https://www.iplt20.com/players/sameer-rizwi/20689,,,,,,,,,,,,,
Tom Kohler- Cadmore,https://www.iplt20.com/players/tom-kohler-cadmore/20697,,,,,,,,,,,,,
Shubham Dubey,https://www.iplt20.com/players/shubham-dubey/20688,,,,,,,,,,,,,
Tanush Kotian,https://www.iplt20.com/players/tanush-kotian/20722,,,,,,,,,,,,,
Ashton Turner,https://www.iplt20.com/players/ashton-turner/1285,,,,,,,,,,,,,
Gulbadin Naib,https://www.iplt20.com/players/gulbadin-naib/20731,,,,,,,,,,,,,
Saurav Chauhan,https://www.iplt20.com/players/saurav-chauhan/20718,,,,,,,,,,,,,
Sumit Kumar,https://www.iplt20.com/players/sumit-kumar/20706,,,,,,,,,,,,,
Arshin Atul Kulkarni,https://www.iplt20.com/players/arshin-atul-kulkarni/20691,,,,,,,,,,,,,
Donovan Ferreira,https://www.iplt20.com/players/donovan-ferreira/5652,,,,,,,,,,,,,
Kumar Kushagra,https://www.iplt20.com/players/kumar-kushagra/20694,,,,,,,,,,,,,
Ricky Bhui,https://www.iplt20.com/players/ricky-bhui/1555,,,,,,,,,,,,,
Jhye Richardson,https://www.iplt20.com/players/jhye-richardson/3781,,,,,,,,,,,,,
Shivam Singh,https://www.iplt20.com/players/shivam-singh/5693,,,,,,,,,,,,,
B R Sharath,https://www.iplt20.com/players/b-r-sharath/20723,,,,,,,,,,,,,
Shams Mulani,https://www.iplt20.com/players/shams-mulani/5884,,,,,,,,,,,,,
Manav Suthar,https://www.iplt20.com/players/manav-suthar/20692,,,,,,,,,,,,,
Surya Kumar Yadav,https://www.iplt20.com/players/surya-kumar-yadav/108,,,,,,,,,,,,,
Priyansh Arya,https://www.iplt20.com/players/priyansh-arya/22052,,,,,,,,,,,,,
Ryan Rickelton,https://www.iplt20.com/players/ryan-rickelton/22003,,,,,,,,,,,,,
N Tilak Varma,https://www.iplt20.com/players/n-tilak-varma/20594,,,,,,,,,,,,,
Josh Inglis,https://www.iplt20.com/players/josh-inglis/22372,,,,,,,,,,,,,
Vaibhav Suryavanshi,https://www.iplt20.com/players/vaibhav-suryavanshi/22203,,,,,,,,,,,,,
Ayush Mhatre,https://www.iplt20.com/players/ayush-mhatre/22377,,,,,,,,,,,,,
Aniket Verma,https://www.iplt20.com/players/aniket-verma/22082,,,,,,,,,,,,,
Sameer Rizvi,https://www.iplt20.com/players/sameer-rizvi/20689,,,,,,,,,,,,,
Shaik Rasheed,https://www.iplt20.com/players/shaik-rasheed/5612,,,,,,,,,,,,,
Urvil Patel,https://www.iplt20.com/players/urvil-patel/5653,,,,,,,,,,,,,
Jacob Bethell,https://www.iplt20.com/players/jacob-bethell/22074,,,,,,,,,,,,,
Sediqullah Atal,https://www.iplt20.com/players/sediqullah-atal/22382,,,,,,,,,,,,,
Kusal Mendis,https://www.iplt20.com/players/kusal-mendis/22384,,,,,,,,,,,,,
Jamie Overton,https://www.iplt20.com/players/jamie-overton/22109,,,,,,,,,,,,,
Matthew Breetzke,https://www.iplt20.com/players/matthew-breetzke/22375,,,,,,,,,,,,,
Wiaan Mulder,https://www.iplt20.com/players/wiaan-mulder/22376,,,,,,,,,,,,,
Raj Angad Bawa,https://www.iplt20.com/players/raj-angad-bawa/20601,,,,,,,,,,,,,
Suryansh Shedge,https://www.iplt20.com/players/suryansh-shedge/20683,,,,,,,,,,,,,
Robin Minz,https://www.iplt20.com/players/robin-minz/20707,,,,,,,,,,,,,
Madhav Tiwari,https://www.iplt20.com/players/madhav-tiwari/22259,,,,,,,,,,,,,
Manoj Bhandage,https://www.iplt20.com/players/manoj-bhandage/5645,,,,,,,,,,,,,
"ANKIT RAJPOOT
Bowler",https://www.iplt20.com/players/ankit-rajpoot/1106,,,,,,,,,,,,,
"NARAYAN JAGADEESAN
WK-Batter",https://www.iplt20.com/players/narayan-jagadeesan/4942,,,,,,,,,,,,,
"KM ASIF
Bowler",https://www.iplt20.com/players/km-asif/4944,,,,,,,,,,,,,
"C HARI NISHAANTH
Batter",https://www.iplt20.com/players/c-hari-nishaanth/7111,,,,,,,,,,,,,
"K BHAGATH VARMA
All-Rounder",https://www.iplt20.com/players/k-bhagath-varma/7105,,,,,,,,,,,,,
"DOMINIC DRAKES
Bowler",https://www.iplt20.com/players/dominic-drakes/5145,,,,,,,,,,,,,
"SUBHRANSHU SENAPATI
Batter",https://www.iplt20.com/players/subhranshu-senapati/20574,,,,,,,,,,,,,
"ADAM MILNE
Bowler",https://www.iplt20.com/players/adam-milne/434,,,,,,,,,,,,,
"NISHANT SINDHU
All-Rounder",https://www.iplt20.com/players/nishant-sindhu/5615,,,,,,,,,,,,,
"AJAY MANDAL
All-Rounder",https://www.iplt20.com/players/ajay-mandal/5811,,,,,,,,,,,,,
"AVANISH RAO ARAVELLY
WK-Batter",https://www.iplt20.com/players/avanish-rao-aravelly/20715,,,,,,,,,,,,,
"VANSH BEDI
WK-Batter",https://www.iplt20.com/players/vansh-bedi/22006,,,,,,,,,,,,,
"ANDRE SIDDARTH
Batter",https://www.iplt20.com/players/andre-siddarth/22022,,,,,,,,,,,,,
"KAMLESH NAGARKOTI
All-Rounder",https://www.iplt20.com/players/kamlesh-nagarkoti/3766,,,,,,,,,,,,,
"RAMAKRISHNA GHOSH
All-Rounder",https://www.iplt20.com/players/ramakrishna-ghosh/22153,,,,,,,,,,,,,
"MATTHEW WILLIAM SHORT
All-Rounder",https://www.iplt20.com/players/matthew-william-short/2032,,,,,,,,,,,,,
"GURJAPNEET SINGH
Bowler",https://www.iplt20.com/players/gurjapneet-singh/22032,,,,,,,,,,,,,
"SHAHBAZ NADEEM
Bowler",https://www.iplt20.com/players/shahbaz-nadeem/57,,,,,,,,,,,,,
"SIDDHARTH KAUL
Bowler",https://www.iplt20.com/players/siddharth-kaul/1086,,,,,,,,,,,,,
"JAYANT YADAV
All-Rounder",https://www.iplt20.com/players/jayant-yadav/1740,,,,,,,,,,,,,
"NATHAN COULTER-NILE
Bowler",https://www.iplt20.com/players/nathan-coulter-nile/840,,,,,,,,,,,,,
"K.S BHARAT
WK-Batter",https://www.iplt20.com/players/k-s-bharat/2734,,,,,,,,,,,,,
"GURKEERAT MANN SINGH
Batter",https://www.iplt20.com/players/gurkeerat-mann-singh/253,,,,,,,,,,,,,
"CHRIS WOAKES
All-Rounder",https://www.iplt20.com/players/chris-woakes/967,,,,,,,,,,,,,
"TOM CURRAN
Bowler",https://www.iplt20.com/players/tom-curran/3646,,,,,,,,,,,,,
"VICKY OSTWAL
All-Rounder",https://www.iplt20.com/players/vicky-ostwal/20624,,,,,,,,,,,,,
"SWASTIK CHHIKARA
Batter",https://www.iplt20.com/players/swastik-chhikara/20711,,,,,,,,,,,,,
"KL RAHUL
WK-Batter",https://www.iplt20.com/players/kl-rahul/1125,,,,,,,,,,,,,
"MANVANTH KUMAR
All-Rounder",https://www.iplt20.com/players/manvanth-kumar/22086,,,,,,,,,,,,,
"TRIPURANA VIJAY
All-Rounder",https://www.iplt20.com/players/tripurana-vijay/22252,,,,,,,,,,,,,
"DASUN SHANAKA
All-Rounder",https://www.iplt20.com/players/dasun-shanaka/1095,,,,,,,,,,,,,
"JOSHUA LITTLE
Bowler",https://www.iplt20.com/players/joshua-little/5683,,,,,,,,,,,,,
"BR SHARATH
WK-Batter",https://www.iplt20.com/players/br-sharath/20723,,,,,,,,,,,,,
"SUSHANT MISHRA
Bowler",https://www.iplt20.com/players/sushant-mishra/20695,,,,,,,,,,,,,
"KARIM JANAT
All-Rounder",https://www.iplt20.com/players/karim-janat/22139,,,,,,,,,,,,,
"GURNOOR SINGH BRAR
Bowler",https://www.iplt20.com/players/gurnoor-singh-brar/1094,,,,,,,,,,,,,
"ASHOK SHARMA
Bowler",https://www.iplt20.com/players/ashok-sharma/20584,,,,,,,,,,,,,
"SHAKIB AL HASAN
All-Rounder",https://www.iplt20.com/players/shakib-al-hasan/201,,,,,,,,,,,,,
"KC CARIAPPA
Bowler",https://www.iplt20.com/players/kc-cariappa/2743,,,,,,,,,,,,,
"R SANJAY YADAV
Bowler",https://www.iplt20.com/players/r-sanjay-yadav/3833,,,,,,,,,,,,,
"PRATHAM SINGH
Batter",https://www.iplt20.com/players/pratham-singh/20583,,,,,,,,,,,,,
"BABA INDRAJITH
Batter",https://www.iplt20.com/players/baba-indrajith/20578,,,,,,,,,,,,,
"RAMESH KUMAR
All-Rounder",https://www.iplt20.com/players/ramesh-kumar/20582,,,,,,,,,,,,,
"CHAMIKA KARUNARATNE
All-Rounder",https://www.iplt20.com/players/chamika-karunaratne/20579,,,,,,,,,,,,,
"LITTON DAS
WK-Batter",https://www.iplt20.com/players/litton-das/5604,,,,,,,,,,,,,
"AARYA DESAI
Batter",https://www.iplt20.com/players/aarya-desai/1098,,,,,,,,,,,,,
"JOHNSON CHARLES
WK-Batter",https://www.iplt20.com/players/johnson-charles/20682,,,,,,,,,,,,,
"ALLAH GHAZANFAR
Bowler",https://www.iplt20.com/players/allah-ghazanfar/20725,,,,,,,,,,,,,
"SAKIB HUSSAIN
Bowler",https://www.iplt20.com/players/sakib-hussain/20717,,,,,,,,,,,,,
"LUVNITH SISODIA
WK-Batter",https://www.iplt20.com/players/luvnith-sisodia/20613,,,,,,,,,,,,,
"SHIVAM SHUKLA
Bowler",https://www.iplt20.com/players/shivam-shukla/22386,,,,,,,,,,,,,
"ARPIT GULERIA
Bowler",https://www.iplt20.com/players/arpit-guleria/1099,,,,,,,,,,,,,
"ARSHIN KULKARNI
All-Rounder",https://www.iplt20.com/players/arshin-kulkarni/20691,,,,,,,,,,,,,
"SHAMAR JOSEPH
Bowler",https://www.iplt20.com/players/shamar-joseph/20719,,,,,,,,,,,,,
"HIMMAT SINGH
Batter",https://www.iplt20.com/players/himmat-singh/5434,,,,,,,,,,,,,
"ARYAN JUYAL
WK-Batter",https://www.iplt20.com/players/aryan-juyal/20596,,,,,,,,,,,,,
"SHAHBAZ AHAMAD
All-Rounder",https://www.iplt20.com/players/shahbaz-ahamad/13803,,,,,,,,,,,,,
"YUVRAJ CHAUDHARY
All-Rounder",https://www.iplt20.com/players/yuvraj-chaudhary/22124,,,,,,,,,,,,,
"RASIKH SALAM
Bowler",https://www.iplt20.com/players/rasikh-salam/5437,,,,,,,,,,,,,
"SANJAY YADAV
Batter",https://www.iplt20.com/players/sanjay-yadav/10631,,,,,,,,,,,,,
"RAGHAV GOYAL
Bowler",https://www.iplt20.com/players/raghav-goyal/5725,,,,,,,,,,,,,
"HARVIK DESAI
WK-Batter",https://www.iplt20.com/players/harvik-desai/20729,,,,,,,,,,,,,
"SHIVALIK SHARMA
All-Rounder",https://www.iplt20.com/players/shivalik-sharma/20714,,,,,,,,,,,,,
"DILSHAN MADUSHANKA
Bowler",https://www.iplt20.com/players/dilshan-madushanka/20687,,,,,,,,,,,,,
"SHRIJITH KRISHNAN
WK-Batter",https://www.iplt20.com/players/shrijith-krishnan/22057,,,,,,,,,,,,,
"BEVON JACOBS
Batter",https://www.iplt20.com/players/bevon-jacobs/22174,,,,,,,,,,,,,
"RAGHU SHARMA
Bowler",https://www.iplt20.com/players/raghu-sharma/22379,,,,,,,,,,,,,
"CHARITH ASALANKA
Bowler",https://www.iplt20.com/players/charith-asalanka/22388,,,,,,,,,,,,,
"ISHAN POREL
Bowler",https://www.iplt20.com/players/ishan-porel/3777,,,,,,,,,,,,,
"WRITTICK CHATTERJEE
Batter",https://www.iplt20.com/players/writtick-chatterjee/20606,,,,,,,,,,,,,
"ANSH PATEL
All-Rounder",https://www.iplt20.com/players/ansh-patel/20608,,,,,,,,,,,,,
"BENNY HOWELL
All-Rounder",https://www.iplt20.com/players/benny-howell/20605,,,,,,,,,,,,,
"BALTEJ DHANDA
Bowler",https://www.iplt20.com/players/baltej-dhanda/20607,,,,,,,,,,,,,
"VISHWANATH PRATAP SINGH
All-Rounder",https://www.iplt20.com/players/vishwanath-pratap-singh/20704,,,,,,,,,,,,,
"TANAY THYAGARAJANN
All-Rounder",https://www.iplt20.com/players/tanay-thyagarajann/20705,,,,,,,,,,,,,
"PRINCE CHOUDHARY
Bowler",https://www.iplt20.com/players/prince-choudhary/20709,,,,,,,,,,,,,
"HARNOOR PANNU
Batter",https://www.iplt20.com/players/harnoor-pannu/22019,,,,,,,,,,,,,
"PYLA AVINASH
Batter",https://www.iplt20.com/players/pyla-avinash/22145,,,,,,,,,,,,,
"AARON HARDIE
All-Rounder",https://www.iplt20.com/players/aaron-hardie/22076,,,,,,,,,,,,,
"MITCH OWEN
All-Rounder",https://www.iplt20.com/players/mitch-owen/22380,,,,,,,,,,,,,
"SACHIN BABY
Batter",https://www.iplt20.com/players/sachin-baby/1115,,,,,,,,,,,,,
"ANUNAY SINGH
All-Rounder",https://www.iplt20.com/players/anunay-singh/20622,,,,,,,,,,,,,
"SHUBHAM GARHWAL
Bowler",https://www.iplt20.com/players/shubham-garhwal/20621,,,,,,,,,,,,,
"TEJAS BAROKA
Bowler",https://www.iplt20.com/players/tejas-baroka/3827,,,,,,,,,,,,,
"KUNAL RATHORE
WK-Batter",https://www.iplt20.com/players/kunal-rathore/5763,,,,,,,,,,,,,
"AKASH VASHISHT
All-Rounder",https://www.iplt20.com/players/akash-vashisht/5651,,,,,,,,,,,,,
"ABDUL P A
All-Rounder",https://www.iplt20.com/players/abdul-p-a/5812,,,,,,,,,,,,,
"ABID MUSHTAQ
All-Rounder",https://www.iplt20.com/players/abid-mushtaq/20713,,,,,,,,,,,,,
"LHUAN-DRE PRETORIUS
Batter",https://www.iplt20.com/players/lhuan-dre-pretorius/22383,,,,,,,,,,,,,
"FINN ALLEN
WK-Batter",https://www.iplt20.com/players/finn-allen/3020,,,,,,,,,,,,,
"ANEESHWAR GAUTAM
All-Rounder",https://www.iplt20.com/players/aneeshwar-gautam/20614,,,,,,,,,,,,,
"SONU YADAV
All-Rounder",https://www.iplt20.com/players/sonu-yadav/5795,,,,,,,,,,,,,
"HIMANSHU SHARMA
Bowler",https://www.iplt20.com/players/himanshu-sharma/5628,,,,,,,,,,,,,
"RAJAN KUMAR
Bowler",https://www.iplt20.com/players/rajan-kumar/5657,,,,,,,,,,,,,
"AVINASH SINGH
Bowler",https://www.iplt20.com/players/avinash-singh/5720,,,,,,,,,,,,,
"SAURAV CHUAHAN
Batter",https://www.iplt20.com/players/saurav-chuahan/20718,,,,,,,,,,,,,
"BLESSING MUZARABANI
Bowler",https://www.iplt20.com/players/blessing-muzarabani/22387,,,,,,,,,,,,,
"ABHINANDAN SINGH
Bowler",https://www.iplt20.com/players/abhinandan-singh/22136,,,,,,,,,,,,,
"UPENDRA SINGH YADAV
WK-Batter",https://www.iplt20.com/players/upendra-singh-yadav/5621,,,,,,,,,,,,,
"SAMARTH VYAS
All-Rounder",https://www.iplt20.com/players/samarth-vyas/5617,,,,,,,,,,,,,
"JHATHAVEDH SUBRAMANYAN
Bowler",https://www.iplt20.com/players/jhathavedh-subramanyan/20708,,,,,,,,,,,,,
"SMARAN RAVICHANDRAN
Batter",https://www.iplt20.com/players/smaran-ravichandran/22378,,,,,,,,,,,,,
