Player Name,Player Profile URL,Rank,Team,Wickets,Matches,Innings,Overs,Runs Conceded,Best Bowling,Average,Economy,Strike Rate,4 Wicket Hauls,5 Wicket Hauls
Basil Thampi,https://www.iplt20.com/players/basil-thampi/3825,64,MI,5,5,5,16.0,152,35/3,30.40,9.50,19.20,0,0
Shivam Mavi,https://www.iplt20.com/players/shivam-mavi/3779,65,KKR,5,6,6,22.0,227,33/1,45.40,10.31,26.40,0,0
Akash Deep,https://www.iplt20.com/players/akash-deep/14800,66,RCB,5,5,5,18.5,205,45/3,41.00,10.88,22.60,0,0
Mitchell Santner,https://www.iplt20.com/players/mitchell-santner/1903,67,CSK,4,6,6,19.0,130,15/1,32.50,6.84,28.50,0,0
Simarjeet Singh,https://www.iplt20.com/players/simarjeet-singh/10789,68,CSK,4,6,6,18.0,138,27/2,34.50,7.66,27.00,0,0
Lalit Yadav,https://www.iplt20.com/players/lalit-yadav/6870,69,DC,4,12,8,18.0,150,11/2,37.50,8.33,27.00,0,0
Mitchell Marsh,https://www.iplt20.com/players/mitchell-marsh/221,70,DC,4,8,4,12.0,102,25/2,25.50,8.50,18.00,0,0
Kieron Pollard,https://www.iplt20.com/players/kieron-pollard/210,71,MI,4,11,6,14.0,125,8/2,31.25,8.92,21.00,0,0
Harpreet Brar,https://www.iplt20.com/players/harpreet-brar/5441,72,PBKS,4,5,5,16.0,146,26/3,36.50,9.12,24.00,0,0
Shahbaz Ahmed,https://www.iplt20.com/players/shahbaz-ahmed/13803,73,RCB,4,16,14,35.0,336,26/2,84.00,9.60,52.50,0,0
Marcus Stoinis,https://www.iplt20.com/players/marcus-stoinis/964,74,LSG,4,11,5,7.0,79,23/3,19.75,11.28,10.50,0,0
Pradeep Sangwan,https://www.iplt20.com/players/pradeep-sangwan/91,75,GT,3,3,3,9.0,65,19/2,21.66,7.22,18.00,0,0
Chetan Sakariya,https://www.iplt20.com/players/chetan-sakariya/11062,76,DC,3,3,3,11.0,84,23/2,28.00,7.63,22.00,0,0
Nathan Ellis,https://www.iplt20.com/players/nathan-ellis/17118,77,PBKS,3,2,2,6.0,55,40/3,18.33,9.16,12.00,0,0
Vaibhav Arora,https://www.iplt20.com/players/vaibhav-arora/14859,78,PBKS,3,5,5,17.5,164,21/2,54.66,9.19,35.66,0,0
Romario Shepherd,https://www.iplt20.com/players/romario-shepherd/20609,79,SRH,3,3,3,9.0,98,42/2,32.66,10.88,18.00,0,0
Navdeep Saini,https://www.iplt20.com/players/navdeep-saini/3824,80,RR,3,2,2,6.0,72,36/2,24.00,12.00,12.00,0,0
Ayush Badoni,https://www.iplt20.com/players/ayush-badoni/20586,81,LSG,2,13,2,2.0,11,5/1,5.50,5.50,6.00,0,0
Prashant Solanki,https://www.iplt20.com/players/prashant-solanki/20576,82,CSK,2,2,2,6.0,38,20/2,19.00,6.33,18.00,0,0
Matheesha Pathirana,https://www.iplt20.com/players/matheesha-pathirana/20627,83,CSK,2,2,2,6.5,52,24/2,26.00,7.60,20.50,0,0
Sandeep Sharma,https://www.iplt20.com/players/sandeep-sharma/1112,84,PBKS,2,5,5,20.0,153,18/1,76.50,7.65,60.00,0,0
Hrithik Shokeen,https://www.iplt20.com/players/hrithik-shokeen/20598,85,MI,2,5,5,15.0,127,47/2,63.50,8.46,45.00,0,0
Fazalhaq Farooqi,https://www.iplt20.com/players/fazalhaq-farooqi/20610,86,SRH,2,3,3,12.0,110,32/2,55.00,9.16,36.00,0,0
Andrew Tye,https://www.iplt20.com/players/andrew-tye/1480,87,LSG,2,3,3,11.0,107,40/2,53.50,9.72,33.00,0,0
